run_id,category,report,task,configuration,production_code_additions,code_measure_source,production_source_files,passed,checks,success_rate,centered_log1p_additions,code_size_z
abs-stepped-slices-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,abs-stepped-slices,codex-cli-high,262,git-diff-production-additions,ast/ast.go;evaluator/evaluator.go;parser/parser.go,1,1,1.0,0.048744914731513767,0.144941896946765
actionlint-action-pinning-lint-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,actionlint-action-pinning-lint,codex-cli-high,382,git-diff-production-additions,command.go;config.go;linter.go;rule_action_pinning.go,1,1,1.0,0.05393960547718546,0.16038819190648698
awilix-async-container-initialization-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,awilix-async-container-initialization,codex-cli-high,528,git-diff-production-additions,src/awilix.ts;src/container.ts;src/errors.ts;src/resolvers.ts,1,1,1.0,0.26225071287402546,0.7797965389613929
bandit-incremental-cache-control-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,bandit-incremental-cache-control,codex-cli-high,638,git-diff-production-additions,bandit/cli/main.py;bandit/core/incremental.py;bandit/core/manager.py;bandit/formatters/json.py;bandit/formatters/screen.py;bandit/formatters/text.py,0,1,0.0,0.18996235296545017,0.5648487424572878
boa-hierarchical-evaluation-cancellation-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,boa-hierarchical-evaluation-cancellation,codex-cli-high,368,git-diff-production-additions,core/engine/src/context/mod.rs;core/engine/src/evaluation.rs;core/engine/src/job.rs;core/engine/src/lib.rs;core/engine/src/module/mod.rs;core/engine/src/script.rs;core/engine/src/vm/mod.rs,0,1,0.0,-0.09289529278358444,-0.2762220434201121
csstree-shorthand-expansion-compression-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,csstree-shorthand-expansion-compression,codex-cli-high,707,git-diff-production-additions,lib/__tests/lexer-shorthand.js;lib/lexer/Lexer.js;lib/lexer/shorthand.js,1,1,1.0,-0.14073724468849225,-0.41847900090844226
dasel-html-document-format-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,dasel-html-document-format,codex-cli-high,804,git-diff-production-additions,cmd/dasel/main.go;parsing/html/html.go;parsing/html/reader.go;parsing/html/writer.go,1,1,1.0,0.069480067180832,0.20659740185508615
dynamodb-toolbox-conditional-attribute-requirements-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,dynamodb-toolbox-conditional-attribute-requirements,codex-cli-high,824,git-diff-production-additions,src/entity/actions/transactUpdate/updateTransaction.ts;src/entity/actions/update/requiredIf.ts;src/entity/actions/update/updateItemParams/updateItemParams.ts;src/entity/actions/updateAttributes/updateAttributesParams/updateAttributesParams.ts;src/schema/actions/dto/getSchemaDTO/any.ts;src/schema/actions/dto/getSchemaDTO/anyOf.ts;src/schema/actions/dto/getSchemaDTO/list.ts;src/schema/actions/dto/getSchemaDTO/map.ts;src/schema/actions/dto/getSchemaDTO/primitive.ts;src/schema/actions/dto/getSchemaDTO/record.ts;src/schema/actions/dto/getSchemaDTO/set.ts;src/schema/actions/dto/types.ts;src/schema/actions/fromDTO/fromSchemaDTO/anyOf.ts;src/schema/actions/jsonSchemer/formattedValue/item.ts;src/schema/actions/jsonSchemer/formattedValue/map.ts;src/schema/actions/jsonSchemer/formattedValue/shared.ts;src/schema/actions/parse/item.ts;src/schema/actions/parse/map.ts;src/schema/actions/parse/requiredIf.ts;src/schema/actions/zodSchemer/formatter/anyOf.ts;src/schema/actions/zodSchemer/formatter/item.ts;src/schema/actions/zodSchemer/formatter/map.ts;src/schema/actions/zodSchemer/parser/anyOf.ts;src/schema/actions/zodSchemer/parser/item.ts;src/schema/actions/zodSchemer/parser/map.ts;src/schema/actions/zodSchemer/utils.ts;src/schema/any/schema_.ts;src/schema/anyOf/schema_.ts;src/schema/binary/schema_.ts;src/schema/boolean/schema_.ts;src/schema/item/schema.ts;src/schema/list/schema_.ts;src/schema/map/schema.ts;src/schema/map/schema_.ts;src/schema/null/schema_.ts;src/schema/number/schema_.ts;src/schema/record/schema_.ts;src/schema/set/schema_.ts;src/schema/string/schema_.ts;src/schema/types/index.ts;src/schema/types/schemaProps.ts;src/schema/utils/checkRequiredIf.ts;src/schema/utils/checkSchemaProps.ts,1,1,1.0,0.31678845179947324,0.94196326709255
fd-deterministic-multi-key-sorting-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,fd-deterministic-multi-key-sorting,codex-cli-high,445,git-diff-production-additions,src/cli.rs;src/config.rs;src/main.rs;src/sort.rs;src/walk.rs,1,1,1.0,0.0841617923217104,0.2502531781363844
happy-dom-abort-pending-body-reads-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,happy-dom-abort-pending-body-reads,codex-cli-high,260,git-diff-production-additions,packages/happy-dom/src/browser/utilities/BrowserFrameFactory.ts;packages/happy-dom/src/browser/utilities/BrowserFrameNavigator.ts;packages/happy-dom/src/fetch/Request.ts;packages/happy-dom/src/fetch/Response.ts;packages/happy-dom/src/fetch/multipart/MultipartFormDataParser.ts;packages/happy-dom/src/fetch/utilities/FetchBodyUtility.ts,1,1,1.0,0.5950930591359844,1.769495696650783
katex-multicolumn-array-spans-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,katex-multicolumn-array-spans,codex-cli-high,240,git-diff-production-additions,src/Parser.ts;src/domTree.ts;src/environments/array.ts;src/parseNode.ts,0,1,0.0,-0.00823063852703676,-0.02447361674059058
langchain-request-coalescing-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,langchain-request-coalescing,codex-cli-high,978,git-diff-production-additions,libs/core/langchain_core/runnables/__init__.py;libs/core/langchain_core/runnables/base.py;libs/core/langchain_core/runnables/coalesce.py,0,1,0.0,0.2065877294605576,0.61428392189965
